epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,10306.5,0.63377,0.9365,1.15144,0.6705,0,0.56028,0.51491,0.52836,0.34935,0.55276,0.50281,0.52241,0.33716,0.6,0.94504,4.09301,0.57324,0,0.000110266,0.000110266,0.000110266
45,10510,0.64577,0.94031,1.1532,0.67847,0,0.50127,0.54354,0.48472,0.33143,0.49286,0.52529,0.47193,0.30356,0.59863,0.95951,5.36132,0.58669,0,0.000108365,0.000108365,0.000108365
46,10714.9,0.62902,0.91205,1.04776,0.6664,0,0.51357,0.4895,0.5173,0.36627,0.51778,0.51078,0.52986,0.34177,0.61091,0.95697,3.74936,0.6016,0,0.000106464,0.000106464,0.000106464
47,10920.7,0.62095,0.92558,1.05349,0.66425,0,0.60382,0.5835,0.59972,0.39296,0.59321,0.57288,0.59366,0.35737,0.59025,0.97115,3.11296,0.57928,0,0.000104563,0.000104563,0.000104563
48,11125,0.61154,0.90786,1.01339,0.66032,0,0.5531,0.53301,0.55527,0.37137,0.55269,0.52698,0.5586,0.33353,0.5888,1.0069,3.27708,0.5707,0,0.000102662,0.000102662,0.000102662
49,11329.8,0.60947,0.90921,0.9837,0.65646,0,0.55484,0.55899,0.60618,0.4044,0.54268,0.54219,0.59247,0.3694,0.58243,0.9554,3.22879,0.59881,0,0.000100762,0.000100762,0.000100762
50,11535.5,0.58838,0.88467,0.94802,0.6474,0,0.5765,0.555,0.56418,0.37856,0.55778,0.52784,0.54273,0.35664,0.57618,1.08731,3.2596,0.59331,0,9.88608e-05,9.88608e-05,9.88608e-05
51,11742,0.61972,0.90032,0.92481,0.66504,0,0.67523,0.55594,0.58215,0.39343,0.67307,0.55579,0.58688,0.35055,0.58047,1.02039,2.61685,0.57925,0,9.696e-05,9.696e-05,9.696e-05
52,11947.6,0.59983,0.88369,0.89422,0.64926,0,0.59854,0.49411,0.50643,0.3465,0.59884,0.49516,0.51009,0.31706,0.59569,0.93225,3.01798,0.60016,0,9.50592e-05,9.50592e-05,9.50592e-05
53,12153.8,0.57836,0.85898,0.89127,0.64918,0,0.63277,0.58569,0.53172,0.34591,0.62758,0.57505,0.52153,0.32904,0.59378,1.02053,3.57069,0.59924,0,9.31584e-05,9.31584e-05,9.31584e-05
54,12358.9,0.58684,0.86447,0.86682,0.65074,0,0.58289,0.5793,0.58668,0.38712,0.58163,0.57349,0.57663,0.36212,0.5712,0.98478,3.16786,0.58084,0,9.12576e-05,9.12576e-05,9.12576e-05
55,12566.4,0.57656,0.86404,0.85246,0.64258,0,0.60407,0.60677,0.5683,0.36524,0.61567,0.54152,0.52845,0.32802,0.57388,1.02009,3.06427,0.57844,0,8.93568e-05,8.93568e-05,8.93568e-05
56,12773,0.59231,0.87907,0.84933,0.6468,0,0.66191,0.56694,0.5993,0.39212,0.66065,0.55201,0.5946,0.3646,0.57636,0.95989,2.42753,0.5733,0,8.7456e-05,8.7456e-05,8.7456e-05
57,12978.9,0.56502,0.85035,0.81114,0.64909,0,0.43631,0.64159,0.56085,0.37854,0.61459,0.52582,0.5687,0.35258,0.56108,1.04839,2.7849,0.56513,0,8.55552e-05,8.55552e-05,8.55552e-05
58,13184.4,0.56034,0.84918,0.80125,0.64391,0,0.63894,0.52585,0.588,0.39103,0.64216,0.52647,0.58344,0.36368,0.5726,0.98839,2.59457,0.57489,0,8.36544e-05,8.36544e-05,8.36544e-05
59,13390.8,0.55285,0.83378,0.74613,0.63022,0,0.61888,0.54171,0.57437,0.39645,0.61058,0.53006,0.58117,0.36511,0.56465,0.96499,2.69342,0.57093,0,8.17536e-05,8.17536e-05,8.17536e-05
60,13598.1,0.53701,0.82091,0.73208,0.61749,0,0.50199,0.6404,0.58229,0.40344,0.48337,0.62869,0.57239,0.3697,0.60079,0.99608,2.79511,0.60628,0,7.98528e-05,7.98528e-05,7.98528e-05
61,13806.2,0.55118,0.82792,0.73078,0.6474,0,0.6561,0.56214,0.59222,0.4013,0.4897,0.6295,0.59437,0.37112,0.56407,0.99606,2.39039,0.56705,0,7.7952e-05,7.7952e-05,7.7952e-05
62,14011.3,0.53811,0.81825,0.70504,0.6273,0,0.52909,0.59091,0.57983,0.37847,0.51794,0.57655,0.57468,0.35203,0.58541,0.99542,2.46986,0.58521,0,7.60512e-05,7.60512e-05,7.60512e-05
63,14334.4,0.53768,0.81596,0.69794,0.63563,0,0.535,0.63168,0.58962,0.3959,0.5766,0.60731,0.5957,0.36573,0.5875,1.00721,2.3421,0.57816,0,7.41504e-05,7.41504e-05,7.41504e-05
64,14723.4,0.55253,0.83891,0.69241,0.63817,0,0.50543,0.65092,0.58757,0.39668,0.50745,0.64087,0.57277,0.35393,0.58337,1.00635,2.25941,0.58217,0,7.22496e-05,7.22496e-05,7.22496e-05
65,15128.9,0.50667,0.79375,0.66633,0.60673,0,0.54349,0.6448,0.60986,0.41317,0.54282,0.63525,0.60208,0.38645,0.5874,1.00112,2.22123,0.58824,0,7.03488e-05,7.03488e-05,7.03488e-05
66,15548.3,0.53286,0.82437,0.68626,0.63217,0,0.5369,0.62044,0.58159,0.39893,0.56533,0.62308,0.57168,0.36895,0.58805,0.97177,2.37554,0.59298,0,6.8448e-05,6.8448e-05,6.8448e-05
67,15971.3,0.50065,0.79032,0.62524,0.61044,0,0.59665,0.63201,0.62523,0.40058,0.57111,0.60465,0.60449,0.37898,0.5914,1.04331,2.44103,0.60355,0,6.65472e-05,6.65472e-05,6.65472e-05
68,16353.1,0.50869,0.78987,0.6352,0.61836,0,0.53133,0.6782,0.62255,0.41147,0.59971,0.62774,0.62687,0.38924,0.60164,1.0229,2.57934,0.60859,0,6.46464e-05,6.46464e-05,6.46464e-05
69,16777.9,0.50168,0.78494,0.60326,0.60989,0,0.52281,0.69405,0.60902,0.40447,0.49364,0.65664,0.57943,0.38275,0.59143,1.0049,2.79974,0.60195,0,6.27456e-05,6.27456e-05,6.27456e-05
70,17327.3,0.48689,0.77327,0.60784,0.60196,0,0.54878,0.66364,0.60566,0.39831,0.53118,0.64138,0.5881,0.36567,0.58763,1.00631,2.53664,0.59901,0,6.08448e-05,6.08448e-05,6.08448e-05
71,17508.9,0.48731,0.75665,0.59522,0.60356,0,0.63376,0.58651,0.63282,0.4111,0.62245,0.57619,0.6214,0.39922,0.57041,0.99369,2.68067,0.59449,0,5.8944e-05,5.8944e-05,5.8944e-05
72,17706,0.47981,0.76438,0.59181,0.59308,0,0.61909,0.66067,0.65458,0.43314,0.60878,0.64285,0.63956,0.39454,0.57038,0.97299,2.34272,0.57942,0,5.70432e-05,5.70432e-05,5.70432e-05
73,17915.2,0.49153,0.75592,0.58511,0.60407,0,0.60296,0.6624,0.65854,0.44397,0.58815,0.63994,0.63507,0.41821,0.57635,0.96412,2.23366,0.58254,0,5.51424e-05,5.51424e-05,5.51424e-05
74,18127.7,0.47796,0.75229,0.58415,0.59406,0,0.53539,0.66683,0.63353,0.42681,0.63818,0.61459,0.63632,0.40242,0.55883,1.00971,2.36387,0.58097,0,5.32416e-05,5.32416e-05,5.32416e-05
75,18340.2,0.47228,0.73509,0.58016,0.59273,0,0.55418,0.66355,0.64395,0.41862,0.56357,0.67179,0.6365,0.39561,0.57784,0.99328,2.20629,0.57875,0,5.13408e-05,5.13408e-05,5.13408e-05
76,18554.6,0.46488,0.73814,0.56264,0.59605,0,0.63107,0.63647,0.61162,0.40947,0.64417,0.63474,0.61606,0.38805,0.58779,0.99871,2.23959,0.59455,0,4.944e-05,4.944e-05,4.944e-05
77,18750.6,0.45895,0.73644,0.53848,0.59402,0,0.58081,0.67639,0.64225,0.42956,0.58983,0.63763,0.62438,0.40814,0.57622,1.01749,2.68068,0.5841,0,4.75392e-05,4.75392e-05,4.75392e-05
78,18934.5,0.44976,0.71376,0.53901,0.59028,0,0.65784,0.64861,0.65051,0.43399,0.63785,0.63088,0.62588,0.40517,0.59129,1.01046,2.28827,0.6059,0,4.56384e-05,4.56384e-05,4.56384e-05
79,19115.8,0.43364,0.70726,0.52201,0.57671,0,0.62801,0.60567,0.63762,0.42098,0.63001,0.60154,0.62834,0.40066,0.58508,1.03094,2.15892,0.59013,0,4.37376e-05,4.37376e-05,4.37376e-05
80,19296.3,0.43565,0.71331,0.52405,0.58667,0,0.56067,0.61939,0.61344,0.41796,0.58183,0.64656,0.62223,0.39028,0.5758,1.0334,2.11955,0.58417,0,4.18368e-05,4.18368e-05,4.18368e-05
81,19480.1,0.44488,0.72568,0.51729,0.58956,0,0.55835,0.60034,0.64888,0.44288,0.5601,0.59561,0.63962,0.41289,0.58912,1.04212,2.1729,0.60552,0,3.9936e-05,3.9936e-05,3.9936e-05
82,19664.8,0.44038,0.72205,0.52359,0.59396,0,0.53552,0.65383,0.62322,0.42179,0.53655,0.65029,0.61871,0.39779,0.58886,1.04678,2.23632,0.59365,0,3.80352e-05,3.80352e-05,3.80352e-05
83,19844.5,0.4162,0.68286,0.49498,0.56893,0,0.59045,0.62504,0.63344,0.41277,0.59664,0.6289,0.6333,0.40148,0.57317,1.03599,2.31636,0.58628,0,3.61344e-05,3.61344e-05,3.61344e-05
84,20028.9,0.42927,0.69967,0.49746,0.58257,0,0.61815,0.62019,0.6419,0.43831,0.61323,0.60601,0.64287,0.40716,0.58267,1.02864,2.32851,0.58814,0,3.42336e-05,3.42336e-05,3.42336e-05
85,20220.1,0.42636,0.68084,0.49017,0.57318,0,0.60394,0.61015,0.62251,0.41302,0.59042,0.59127,0.60228,0.38575,0.58511,1.02826,2.34105,0.59944,0,3.23328e-05,3.23328e-05,3.23328e-05
86,20407.3,0.42243,0.68885,0.47661,0.58288,0,0.6481,0.6037,0.63808,0.42031,0.64039,0.6145,0.62507,0.39217,0.58123,1.01086,2.12002,0.5854,0,3.0432e-05,3.0432e-05,3.0432e-05
87,20593.8,0.41619,0.67089,0.48239,0.58383,0,0.62394,0.59747,0.62188,0.42766,0.64429,0.60988,0.62884,0.39103,0.56759,1.01758,2.28764,0.57787,0,2.85312e-05,2.85312e-05,2.85312e-05
88,20777.1,0.41648,0.69551,0.48755,0.57666,0,0.59504,0.65156,0.63952,0.41709,0.59493,0.62888,0.63794,0.40001,0.58324,1.03425,2.13211,0.59843,0,2.66304e-05,2.66304e-05,2.66304e-05
89,20982.4,0.40895,0.67635,0.48377,0.58605,0,0.64092,0.6249,0.64062,0.42744,0.61901,0.59614,0.61304,0.39273,0.57535,1.03228,2.1685,0.59384,0,2.47296e-05,2.47296e-05,2.47296e-05
90,21196.5,0.39343,0.66929,0.45277,0.56992,0,0.65466,0.61749,0.66436,0.44128,0.65526,0.61101,0.65307,0.41803,0.58116,1.03097,2.19669,0.58603,0,2.28288e-05,2.28288e-05,2.28288e-05
91,21550.2,0.40663,0.69824,0.47506,0.58615,0,0.64986,0.62063,0.63771,0.42786,0.68689,0.64061,0.6612,0.40632,0.57253,1.02718,2.19583,0.58726,0,2.0928e-05,2.0928e-05,2.0928e-05
92,21919.3,0.39818,0.67088,0.46605,0.57018,0,0.66329,0.61336,0.65693,0.44817,0.65503,0.59531,0.63723,0.41572,0.56922,1.04346,2.13657,0.58707,0,1.90272e-05,1.90272e-05,1.90272e-05
93,22285,0.41297,0.70069,0.47035,0.59121,0,0.64705,0.62029,0.63962,0.43893,0.6411,0.59901,0.6212,0.4123,0.57507,1.03992,2.04101,0.59176,0,1.71264e-05,1.71264e-05,1.71264e-05
94,22634.5,0.38206,0.66427,0.44684,0.57107,0,0.6206,0.61618,0.62687,0.42778,0.64442,0.62271,0.64106,0.40548,0.57946,1.0447,2.08764,0.60053,0,1.52256e-05,1.52256e-05,1.52256e-05
95,22994.7,0.38957,0.67529,0.44702,0.56478,0,0.62462,0.60342,0.60217,0.41759,0.63725,0.59807,0.59869,0.38718,0.57109,1.04818,2.0987,0.58748,0,1.33248e-05,1.33248e-05,1.33248e-05
96,23403.9,0.39195,0.66406,0.44837,0.57184,0,0.63369,0.58719,0.61357,0.42376,0.66439,0.61455,0.62974,0.39483,0.56681,1.05073,2.07803,0.58694,0,1.1424e-05,1.1424e-05,1.1424e-05
97,23775.5,0.37825,0.6491,0.45775,0.57062,0,0.61405,0.61238,0.64386,0.43353,0.68083,0.62697,0.67563,0.41861,0.56946,1.06441,2.0294,0.58589,0,9.5232e-06,9.5232e-06,9.5232e-06
98,23981.4,0.38249,0.66048,0.44583,0.57814,0,0.63426,0.62335,0.61977,0.41295,0.68064,0.60244,0.62123,0.38773,0.5746,1.07714,2.0381,0.58795,0,7.6224e-06,7.6224e-06,7.6224e-06
99,24454.7,0.37193,0.64856,0.44071,0.56377,0,0.65975,0.5875,0.61273,0.40952,0.68146,0.60231,0.61803,0.3875,0.57398,1.07353,2.04577,0.58937,0,5.7216e-06,5.7216e-06,5.7216e-06
100,24729.7,0.37897,0.65049,0.44894,0.57133,0,0.63521,0.60755,0.6361,0.42588,0.67924,0.59908,0.63552,0.40281,0.569,1.07125,2.02284,0.58436,0,3.8208e-06,3.8208e-06,3.8208e-06
